,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Tommy's Pizzeria,40.8195619,-73.8172086,2023-1205,2023,3.00,$3.00,Plain
,99¢ Pizza,40.7516553,-73.9904349,2023-1129,2023,1.00,$1.00,Plain
,Family Pizza,40.6558571,-73.9601721,2023-1028,2023,3.00,$3.00,Plain
,Elegante Pizzeria,40.7771823,-73.9635973,2023-1021,2023,3.25,$3.25,Plain
,Joe's Pizza,40.7168969,-73.9589576,2023-1018,2023,4.00,$4.00,Plain
,Federico’s Pizza,40.6005149,-73.9909572,2023-0930,2023,3.25,$3.25,Plain
,Luna Pizza,40.7132176,-73.998631,2023-0927,2023,4.36,$4.36,Pepperoni
,Napoli Pizza,40.6160482,-74.1039296,2023-0923,2023,3.25,$3.25,Pepperoni
,L&B Spumoni Gardens,40.5947473,-73.9813043,2023-0807,2023,4.00,$4.00,Plain
,Lona's Pizza,40.8714851,-73.8769085,2023-0729,2023,3.50,$3.50,Plain
,Tony's Pizza,40.8931878,-73.8575829,2023-0614,2023,3.50,$3.50,Plain
,Joe's Pizza Maspeth,40.7212143,-73.9033878,2023-0610,2023,3.00,$3.00,Plain
,Bad Boys Pizza,40.6005149,-73.9909572,2023-0606,2023,3.00,$3.00,Plain
,Sal's Pizzeria of Woodhaven,40.6926899,-73.8587752,2023-0421,2023,3.00,$3.00,Plain
,Alfie's Pizza,40.6998404,-73.8328891,2023-0421,2023,2.50,$2.50,Plain
,Pizza Port I,40.67,-73.8208333,2023-0419,2023,4.00,$4.00,Pepperoni
,LaBella Pizza Express,40.6018196,-73.9936774,2023-0419,2023,3.00,$3.00,Plain
,Margherita Pizza,40.7046291,-73.7962887,2023-0406,2023,3.75,$3.75,Plain
,Romeo's Pizzeria,40.6817612,-73.8370245,2023-0404,2023,3.00,$3.00,Plain
,Xochil Pizzeria,40.7771823,-73.9635973,2023-0403,2023,3.00,$3.00,Plain
,Brothers pizza shop,40.8673139,-73.8963339,2023-0330,2023,3.50,$3.50,Plain
,Di Fara Pizza,40.6249664,-73.9615259,2023-0324,2023,6.00,$6.00,Pepperoni
,Mr Phil's Pizza,40.617892,-73.9995883,2023-0324,2023,3.00,$3.00,Plain
,Dominick's Pizzeria,40.637755,-74.007206,2023-0320,2023,3.00,$3.00,Plain
,Lennys Pizza,40.7573398,-73.978476,2023-0320,2023,3.00,$3.00,Plain
,Emilio's Pizza,40.8243207,-73.8198968,2023-0318,2023,3.50,$3.50,Plain
,Tommy's Pizzeria,40.8195619,-73.8172086,2023-0318,2023,3.00,$3.00,Plain
,Gloria Pizza,40.720763,-73.8432629,2023-0315,2023,3.50,$3.50,Plain
,Ganni's Pizzeria,40.6942132,-73.9578108,2023-0311,2023,3.00,$3.00,Plain
,The Original Napoli Pizza,40.8468605,-73.8963089,2023-0310,2023,3.50,$3.50,Plain
,Bravo Kosher Pizza,40.6898043,-73.9220436,2022-1221,2024,4.00,$4.00,Plain
,Angelo’s Pizza,40.6232544,-73.93792239999999,2022-1014,2022,3.00,$3.00,Plain
,Ozone Pizzeria,40.6808917,-73.8426307,2022-1008,2022,3.00,$3.00,Plain
,Pino Pizza,40.6000148,-73.9994551,2022-1003,2022,2.75,$2.75,Plain
,La Rondine,40.7133354,-73.8294102,2022-0924,2022,3.25,$3.25,Plain
,Rony's Fresh Pizza,40.7482509,-73.9923498,2022-0915,2022,1.00,$1.00,Plain
,John & Joe's Pizzeria,40.8545616,-73.86588180000001,2022-0909,2022,3.50,$3.50,Plain
,Prego's Pizza,40.8631291,-73.8585108,2022-0909,2022,3.00,$3.00,Plain
,N & D Pizza,40.6004632,-73.94307239999999,2022-0905,2022,3.35,$3.35,Plain
,Peppinos,40.9036613,-73.85046679999999,2022-0818,2022,3.00,$3.00,Plain
,Roccos Pizzeria,40.8676344,-73.8836046,2022-0813,2022,3.50,$3.50,Plain
,Ciro Pizza Cafe,40.5332892,-74.1927755,2022-0812,2022,2.50,$2.50,Plain
,Baxter Street Pizza,40.7166726,-73.9996701,2022-0802,2022,3.81,$3.81,Plain
,Pizza Chef,40.8855857,-73.91037759999999,2022-0729,2022,4.35,$4.35,Pepperoni
,Galleria pizza,40.6843262,-73.8450002,2022-0723,2022,3.00,$3.00,Plain
,Emilio's Pizza,40.8679105,-73.9004894,2022-0722,2022,3.25,$3.25,Plain
